"","Site","Transect","TP","Healthy","n","severity","freq","prev","total_corals_surveyed","Timepoint","Acropora","Cyano_mat","Other_hard_coral","Lyngbya","Macroalgae","Montipora","Other_benthic_invert","Other_branching","Other_calcifier","Other_substrate","Sediment","Soft_coral","Turf","Turf_sediment_matrix","Total_hardcoral"
"29","SB","SB02","December","Diseased",8,7.5,0.5,50,16,"April",0.85,15.45,0.164285714,1.9,0.966666667,4.5,0.066666667,1.2,0.725,0.033333333,1.7,0.3,2,21.1,15.4
"30","SB","SB03","April","Diseased",26,21.8461538461538,0.684210526315789,68.4210526315789,38,"Dec",6.166666667,0.166666667,0.46031746,22.44444444,0.583333333,0.111111111,0.740740741,2.777777778,0.166666667,1.555555556,6.555555556,0,3.555555556,21,24.55555556
"31","SB","SB03","April","Diseased",26,21.8461538461538,0.684210526315789,68.4210526315789,38,"April",0.45,10.5,0.571428571,1.9,0.591666667,7.15,0.066666667,2.3,0.275,1.1,8.1,0.35,2.6,19.1,27.8
"32","SB","SB03","December","Diseased",2,3,0.25,25,8,"Dec",6.166666667,0.166666667,0.46031746,22.44444444,0.583333333,0.111111111,0.740740741,2.777777778,0.166666667,1.555555556,6.555555556,0,3.555555556,21,24.55555556
"33","SB","SB03","December","Diseased",2,3,0.25,25,8,"April",0.45,10.5,0.571428571,1.9,0.591666667,7.15,0.066666667,2.3,0.275,1.1,8.1,0.35,2.6,19.1,27.8
"34","SB","SB04","April","Diseased",24,22.0833333333333,0.631578947368421,63.1578947368421,38,"Dec",1.5,0.1,0.764285714,9.3,0.675,6.2,0.033333333,6.1,0.35,0.5,3.7,0.05,4.8,24.4,38.3
"35","SB","SB04","April","Diseased",24,22.0833333333333,0.631578947368421,63.1578947368421,38,"April",10.4,3.45,0.757142857,2,0.420833333,6.15,0.166666667,6.55,0.375,0.266666667,0.9,0.5,3.5,16,56.8
"36","SB","SB04","December","Diseased",16,6.5,0.727272727272727,72.7272727272727,22,"Dec",1.5,0.1,0.764285714,9.3,0.675,6.2,0.033333333,6.1,0.35,0.5,3.7,0.05,4.8,24.4,38.3
"37","SB","SB04","December","Diseased",16,6.5,0.727272727272727,72.7272727272727,22,"April",10.4,3.45,0.757142857,2,0.420833333,6.15,0.166666667,6.55,0.375,0.266666667,0.9,0.5,3.5,16,56.8
"38","SB","SB05","April","Diseased",22,13.3636363636364,0.407407407407407,40.7407407407407,54,"Dec",4.863636364,0.181818182,0.201298701,6,0.496212121,13.40909091,0.060606061,5.409090909,0.340909091,1.212121212,2.363636364,0.136363636,4.545454545,19.18181818,50.18181818
"39","SB","SB05","April","Diseased",22,13.3636363636364,0.407407407407407,40.7407407407407,54,"April",6.454545455,2.318181818,0.220779221,1.727272727,0.295454545,12.22727273,0.090909091,9.136363636,0.545454545,0.636363636,1.818181818,0.409090909,1.636363636,19.18181818,58.72727273
"40","SB","SB05","December","Diseased",18,11.4444444444444,0.45,45,40,"Dec",4.863636364,0.181818182,0.201298701,6,0.496212121,13.40909091,0.060606061,5.409090909,0.340909091,1.212121212,2.363636364,0.136363636,4.545454545,19.18181818,50.18181818
"41","SB","SB05","December","Diseased",18,11.4444444444444,0.45,45,40,"April",6.454545455,2.318181818,0.220779221,1.727272727,0.295454545,12.22727273,0.090909091,9.136363636,0.545454545,0.636363636,1.818181818,0.409090909,1.636363636,19.18181818,58.72727273
"42","SB","SB06","April","Diseased",26,15.8461538461538,0.684210526315789,68.4210526315789,38,"Dec",2.166666667,0.666666667,0.087301587,18.33333333,0.842592593,8.444444444,0.259259259,1.777777778,0.861111111,0.962962963,5.555555556,0,5.777777778,15.66666667,26
"43","SB","SB06","April","Diseased",26,15.8461538461538,0.684210526315789,68.4210526315789,38,"April",0.666666667,13.55555556,0.301587302,2.555555556,0.171296296,16.94444444,0.037037037,0.277777778,0.222222222,0.777777778,5.666666667,0.277777778,1.666666667,15,40
"44","SB","SB06","December","Diseased",16,12.25,0.5,50,32,"Dec",2.166666667,0.666666667,0.087301587,18.33333333,0.842592593,8.444444444,0.259259259,1.777777778,0.861111111,0.962962963,5.555555556,0,5.777777778,15.66666667,26
"45","SB","SB06","December","Diseased",16,12.25,0.5,50,32,"April",0.666666667,13.55555556,0.301587302,2.555555556,0.171296296,16.94444444,0.037037037,0.277777778,0.222222222,0.777777778,5.666666667,0.277777778,1.666666667,15,40
"46","EB","EB0","December","Diseased",6,13.3333333333333,0.666666666666667,66.6666666666667,9,"Dec",16.4,0.05,0.235714286,9.8,0.758333333,3.65,0.366666667,0,0.3,0.133333333,4.1,0,8.5,13.2,43.4
